TYPE,NAME,GROUP,DEFAULT
bool,check_hash,collection,false
bool,write_hash,collection,true
qbytearray,main_window_state,gui_appearance,-
qrect,main_window_rect,gui_appearance,-
bool,start_maximized,gui_appearance,-
qstringlist,recent_files,gui_general,-
int,max_recent_files,gui_general,DEFAULT_MAX_RECENT_FILES=5
bool,confirm_close_db,gui_general,true
bool,confirm_remove_db,gui_general,true
qstring,last_archive,directories,-
bool,use_last_archive,directories,true
bool,initials,movie_list,false
